on x=-28..25,y=-34..15,z=-36..13
on x=-9..36,y=-2..43,z=-47..5
on x=-27..26,y=-7..41,z=-8..46
on x=-28..26,y=-11..39,z=-32..17
on x=-13..41,y=-30..24,z=-47..1
on x=-4..45,y=-48..-3,z=-39..13
on x=-49..-3,y=-29..20,z=-39..7
on x=-29..20,y=2..46,z=-31..15
on x=-10..34,y=-12..41,z=-15..32
on x=-12..41,y=-6..42,z=-22..28
off x=-8..9,y=-31..-21,z=-30..-11
on x=1..47,y=-30..16,z=-9..38
off x=-34..-16,y=-48..-31,z=9..25
on x=-29..19,y=-38..15,z=-34..20
off x=-3..12,y=25..34,z=-43..-32
on x=-36..17,y=-23..31,z=-29..16
off x=14..27,y=-30..-21,z=3..21
on x=-31..14,y=-36..8,z=-36..12
off x=24..34,y=-27..-10,z=-34..-17
on x=-33..14,y=-45..6,z=-42..2
on x=-84084..-49906,y=-34022..-13687,z=-26508..-7161
on x=-5505..17661,y=15376..39557,z=64634..85669
on x=-77470..-55853,y=-25906..-5142,z=-42096..-20083
on x=-44899..-13829,y=5050..26536,z=67119..86305
on x=-63460..-40980,y=33003..59169,z=25378..44440
on x=-17311..-1574,y=-86884..-62730,z=-54963..-35830
on x=26480..34369,y=39725..55309,z=-77095..-43655
on x=22634..49093,y=-13808..7138,z=-79760..-60071
on x=2496..13198,y=-73951..-53407,z=-43731..-30331
on x=-27451..-20414,y=1868..32906,z=-75318..-62730
on x=31848..53483,y=-73320..-63684,z=-24860..-14722
on x=6461..28672,y=1908..29124,z=-84376..-68877
on x=16931..39395,y=37598..63107,z=47860..60054
on x=14945..40546,y=-7317..549,z=-93498..-67762
on x=-85540..-58126,y=7461..23740,z=-29051..-17311
on x=38640..49114,y=55796..68805,z=-35888..-8915
on x=-25483..8215,y=32431..39809,z=70198..82364
on x=-3703..17675,y=61466..90313,z=16909..48922
on x=44604..75529,y=-22304..-6299,z=45999..60729
on x=-70454..-38359,y=25776..59602,z=-45661..-30347
on x=-20074..9993,y=56063..71942,z=-49242..-17209
on x=35569..59289,y=-52746..-21591,z=33105..49948
on x=-69553..-46700,y=-21120..10014,z=-78684..-51923
on x=-64276..-54684,y=41723..63992,z=-20013..-7784
on x=-1824..9573,y=66316..76607,z=23895..46349
